split,has_generator_model,has_judge_scores,serialized_into_exp43_input
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
train,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
dev,True,True,False
